user_id,products,reviews
4616950,702,36
10057960,603,27
11316351,677,68
4363012,1001,72
4893896,496,50
6366584,1597,129
8517311,890,27
11140739,286,79
11148812,308,24
11402551,444,137
11562814,4344,27
11609334,3166,71
11708173,443,24
11832464,287,71
11883273,861,26
12030852,754,52
12200754,610,38
13324847,523,27
14189607,266,71
50405,502,97
364560,175,52
613571,1469,32
957872,187,37
1239121,999,26
1370052,1213,67
2343302,330,55
3233858,680,47
3550499,257,29
4408130,216,56
5047735,1941,152
5107791,222,36
5337314,1252,199
5382866,2723,109
5460366,2474,37
5682311,504,55
5955410,4416,26
6133618,1390,37
6215783,912,30
6380146,307,37
6415396,3531,146
6609690,941,24
6690281,495,61
6695355,374,29
6751552,479,32
6849017,5182,40
6891694,353,27
7111059,2063,65
7273363,1995,32
7348891,2050,27
7376907,754,26
7465111,259,101
7635066,646,25
7643035,2009,98
7657758,1522,28
7658156,1709,31
7847234,2036,27
7947587,1118,46
7987463,312,27
8362755,367,42
8563237,431,24
8649814,543,67
8660472,1120,33
8670654,144,35
8677273,131,25
8758385,968,27
8773745,2818,25
8887496,259,32
8896136,489,32
9031458,248,38
9082536,750,612
9086712,3252,59
9158818,477,53
9454282,537,24
9459302,510,71
9484944,124,35
9523155,222,24
9689504,247,34
9966160,3842,111
9975802,284,24
10010751,1713,31
10109678,405,25
10181930,866,78
10211429,437,29
10295814,532,26
10337512,520,43
10462910,453,61
10490627,391,46
10519925,482,60
10635790,1285,37
10696484,338,61
10783429,847,67
10814378,1115,26
10887265,885,97
10898057,359,50
10960060,232,24
11017547,1454,43
11034537,346,24
11050535,696,39
11097241,245,45
11117905,636,27
11121457,2024,24
11130273,424,27
11154624,405,34
11162832,560,27
11168173,1312,84
11180141,1011,38
11195395,1258,76
11218827,334,52
11232055,482,26
11252439,344,174
11256404,309,28
11258003,716,42
11287160,103,28
11290494,675,30
11302067,272,36
11316864,396,45
11328508,103,32
11334991,688,48
11337590,266,25
11338624,96,28
11338880,264,62
11342712,1231,52
11350993,597,59
11354275,973,43
11362340,257,24
11362700,414,27
11368366,550,40
11373088,3338,65
11390122,4192,35
11422252,700,118
11425371,248,56
11431241,1484,33
11432265,620,32
11438913,899,54
11455226,198,49
11458183,849,31
11462659,226,41
11482895,731,53
11489232,379,115
11520558,227,56
11524229,383,25
11532391,1204,92
11536388,381,24
11547115,974,31
11552134,304,43
11552509,362,32
11558314,211,63
11564999,350,38
11583210,189,37
11586506,3275,82
11598926,1226,31
11599225,343,30
11606206,523,112
11610687,422,45
11631863,739,27
11632810,1529,43
11656042,2745,137
11670491,244,28
11676968,459,27
11690395,625,29
11708890,333,39
11735529,1267,51
11737599,235,39
11741351,203,25
11789718,583,29
11790645,1596,152
11806035,1031,33
11817482,349,26
11850560,489,32
11870317,414,28
11888212,268,60
11888855,117,31
11898971,1085,37
11899656,1852,160
11899978,196,50
11904546,570,25
11913519,320,46
11940082,349,83
11957475,298,30
11971732,62,39
11981658,561,37
11991862,625,68
11993679,3769,33
11999076,354,24
12010810,615,32
12028182,195,27
12028265,1060,35
12033370,280,25
12033999,114,26
12034060,1693,86
12034266,287,117
12037028,351,69
12040880,364,30
12059288,140,25
12060674,421,25
12076631,875,27
12084010,518,29
12086782,95,26
12086946,352,26
12087807,718,26
12142129,4121,345
12155056,422,24
12181862,307,47
12240319,253,25
12249528,130,29
12260957,358,32
12386405,597,64
12460901,231,52
12472023,467,25
12497288,213,35
12541426,217,35
12679722,169,41
12794833,389,33
12824559,361,31
12870382,447,36
12917616,526,84
12992358,288,43
13028736,436,93
13113654,247,26
13154399,1165,49
13203648,619,50
13235533,376,45
13246419,407,48
13248751,275,27
13317796,1024,55
13382289,488,36
13385091,223,76
13391696,218,28
13398044,1602,41
13402950,1562,35
13527847,1306,85
13534155,6016,32
13691151,257,33
13709109,761,29
13732933,262,29
13859775,257,85
13861569,2030,47
13900339,238,28
13914743,151,42
13921981,809,29
13954432,319,32
13958820,180,43
14015173,455,32
14034311,478,40
14063432,499,55
14106757,1432,26
14108030,323,77
14110366,958,37
14182384,371,73
14209637,300,60
14266135,1788,65
14287706,5725,100
271314,528,31
292108,139,30
293710,1239,58
316656,369,26
525228,2238,85
603927,210,44
640375,986,29
728509,314,37
854025,145,30
926650,454,75
1054344,2263,467
1090686,326,54
1115053,366,26
1178725,1175,27
1293317,250,43
1369446,188,25
1453170,690,32
1484449,385,27
1493864,930,72
1528979,1040,28
1554966,305,31
1622414,211,70
1631597,154,59
1651874,125,24
1694212,236,37
1696115,914,47
1732275,616,29
1741556,284,129
1754374,897,36
1836020,390,40
1880159,411,27
1926831,152,29
1966456,700,42
1992065,1477,112
2052995,703,31
2204492,483,32
2266573,135,25
2361282,261,30
2366002,323,52
2427979,934,48
2486506,152,31
2548970,461,28
2630226,99,32
2639416,220,115
2639899,616,57
2801456,1069,160
2810066,362,38
2867240,1555,136
2968083,163,30
2999038,257,25
3005161,118,27
3059288,325,37
3059465,738,27
3071640,306,120
3079174,105,34
3134278,244,31
3164546,129,26
3198551,165,46
3202691,71,44
3215933,517,24
3222952,99,28
3240480,305,32
3254566,382,27
3308553,161,29
3368876,301,25
3431758,400,40
3465677,257,24
3482487,579,32
3501833,299,28
3620076,286,72
3708816,206,31
3745248,495,37
3757200,954,30
3762779,514,66
3767947,139,26
3783752,793,100
3836424,298,59
3945731,282,26
3986330,667,98
4039660,191,40
4064128,492,39
4134075,632,37
4154892,898,46
4163355,170,38
4184988,371,51
4186347,460,25
4233707,176,31
4252790,319,24
4278146,278,35
4280331,536,38
4286993,324,24
4303022,170,26
4326334,246,31
4327876,223,57
